Code;Typ;Subsystem;Kurztext;Ursache;Abhilfe;SeitVersion;Status
14001;F;MQTT;MQTT Verbindung fehlgeschlagen;Broker antwortet nicht oder Verbindungsfehler;Netzverbindung, Broker-URL und Port pruefen;5.09;aktiv
14002;F;MQTT;IAP Programmierfehler MQTT;Kontrollfluss erreichte IAP-Fehlerposition in MQTT;Firmware pruefen, Service kontaktieren;5.09;aktiv
15001;F;GPS;GPS Keine Antwort;GPS-Modul antwortet nicht;GPS-Modul, Versorgung und Verkabelung pruefen;5.09;aktiv
15002;F;GPS;GPS Initialisierung fehlgeschlagen;GPS-Initialisierung meldet Fehler oder kein Fix;GPS-Antenne und Sichtverbindung zum Himmel pruefen;5.09;aktiv
15003;F;GPS;GPS Kommando fehlgeschlagen;GPS-Befehl ohne Antwort;GPS-Verbindung und Baudrate pruefen;5.09;aktiv
15004;F;GPS;GPS Fehler;GPS-Fehler waehrend Betrieb;GPS-Modul und Antenne pruefen;5.09;aktiv
16002;F;Flash/Speicher;Parameter-Initialisierung fehlgeschlagen;Flash-Write fuer Parametersatz nicht bestaetigt;Geraet neu starten, bei Wiederholung Flash pruefen;5.09;aktiv
17001;F;System;I2C-Bus Fehler beim Start;I2C-Bus-Scan fehlgeschlagen;I2C-Verkabelung und Versorgung pruefen;5.09;aktiv
17002;F;System;I2C Geraet fehlt;Erwartetes I2C-Geraet nicht erkannt;I2C-Geraete und Adressen pruefen;5.09;aktiv
17003;F;System;I2C DPP fehlt;DPP-Modul nicht am I2C-Bus erkannt;DPP-Modul und Verbindung pruefen;5.09;aktiv
17004;F;System;LED-Treiber TCA6507 fehlt;TCA6507 nicht erkannt beim Systemstart;Optionale LED-Spotlampe und Verkabelung pruefen;5.09;aktiv
18001;F;Hardware;GSM-Fehler in libtool;GSM-Modem meldet Fehler bei TCP/IP-Operation;Netzverbindung und GSM-Modem pruefen;5.09;aktiv
18002;F;Hardware;LED-Treiber TCA6507 Fehler;TCA6507 nicht erreichbar oder Schreibfehler;TCA6507 und I2C-Bus pruefen;5.09;aktiv
18003;F;Hardware;Hardware-Fehler;Unerwarteter Hardware-Fehler aufgetreten;Hardware pruefen, Service kontaktieren;5.09;aktiv
18004;F;Hardware;Kommunikations-Timeout;Timeout bei serieller Kommunikation;Schnittstellenparameter und Kabel pruefen;5.09;aktiv
19001;F;USB;USB Device Init fehlgeschlagen;USBD_Initialize meldet Fehler;USB-Hardware und Treiber pruefen;5.09;aktiv
19002;F;USB;USB Device Connect fehlgeschlagen;USBD_Connect meldet Fehler;USB-Kabel und Host pruefen;5.09;aktiv
19003;F;USB;USB Device Disconnect fehlgeschlagen;USBD_Disconnect meldet Fehler;USB-Verbindung pruefen;5.09;aktiv
19004;F;USB;USB Device Uninit fehlgeschlagen;USBD_Uninitialize meldet Fehler;USB-Hardware pruefen;5.09;aktiv
19005;F;USB;USB Dateisystem Init fehlgeschlagen;Dateisystem-Initialisierung meldet Fehler;USB-Stick und Formatierung pruefen;5.09;aktiv
19006;F;USB;USB Dateisystem Info fehlgeschlagen;finfo() meldet Fehler;USB-Stick und Dateisystem pruefen;5.09;aktiv
19007;F;USB;USB Speicher voll;Freier Speicher negativ;USB-Stick leeren oder groesseren verwenden;5.09;aktiv
19008;F;USB;USB Datei-Fehler;Datei-Operation fehlgeschlagen;USB-Stick und Dateirechte pruefen;5.09;aktiv
19009;F;USB;USB Host Init fehlgeschlagen;USBH_Initialize meldet Fehler;USB-Host-Hardware pruefen;5.09;aktiv
19010;F;USB;Keine Firmware auf USB-Stick;Kein gueltiger ARM-Code gefunden;Korrekte Firmware-Datei auf USB-Stick kopieren;5.09;aktiv
19011;F;USB;Parameter-Init fehlgeschlagen USB;Parametersatz-Schreiben nach USB-Update fehlgeschlagen;Update wiederholen, Flash pruefen;5.09;aktiv
19012;F;USB;USB allgemeiner Fehler;Unspezifischer USB-Fehler aufgetreten;USB-Stick und Verbindung pruefen;5.09;aktiv
19013;F;USB;IAP Programmierfehler USB;Kontrollfluss erreichte IAP-Fehlerposition in USB-Update;Firmware und USB-Stick pruefen;5.09;aktiv
20001;F;Systemtest;I2C DPP Test fehlgeschlagen;DPP am I2C-Bus nicht erreichbar;DPP-Modul und I2C-Bus pruefen;5.09;aktiv
20002;F;Systemtest;I2C Expander Test fehlgeschlagen;I2C-Expander nicht erreichbar;Expander und I2C-Bus pruefen;5.09;aktiv
20003;F;Systemtest;Kalibrierung Test fehlgeschlagen;Kalibriermessung ausserhalb Toleranz;Sensor und Kalibrierung pruefen;5.09;aktiv
20004;F;Systemtest;Sensor Test fehlgeschlagen;Sensor-Messwert ausserhalb Bereich;Sensor und Anschluss pruefen;5.09;aktiv
20005;F;Systemtest;RTC Test fehlgeschlagen;Echtzeituhr meldet Fehler oder Wert unplausibel;RTC und Batterie pruefen;5.09;aktiv
20006;F;Systemtest;I2C IC34 Expander Fehler;IC34 I2C-Expander nicht erreichbar;IC34 und I2C-Bus pruefen;5.09;aktiv
20007;F;Systemtest;LED-Treiber Test fehlgeschlagen;TCA6507 bei LED-Test nicht erreichbar;TCA6507 und Verbindung pruefen;5.09;aktiv
# --- Ereignisse (Typ I, weiterhin aktiv) ---
1;I;Ereignis;Eingeschaltet;Betriebsereignis;-;alt;aktiv
3;I;Ereignis;Messbeginn;Betriebsereignis;-;alt;aktiv
5;I;Ereignis;Sommerzeit;Betriebsereignis;-;alt;aktiv
6;I;Ereignis;Winterzeit;Betriebsereignis;-;alt;aktiv
7;I;Ereignis;Reboot;Betriebsereignis;-;alt;aktiv
11;I;Ereignis;Speicher voll;Betriebsereignis;-;alt;aktiv
12;I;Ereignis;Batteriespannung < 11,5V;Betriebsereignis;-;alt;aktiv
30;I;Ereignis;Werkinitialisierung;Betriebsereignis;-;alt;aktiv
31;I;Ereignis;Watchdog reset;Betriebsereignis;-;alt;aktiv
32;I;Ereignis;Firmware update;Betriebsereignis;-;alt;aktiv
33;I;Ereignis;Standardeinstellung;Betriebsereignis;-;alt;aktiv
34;I;Ereignis;Parameter initialisation;Betriebsereignis;-;alt;aktiv
35;I;Ereignis;Certificate loaded;Betriebsereignis;-;alt;aktiv
50;I;Ereignis;MQTT connect;Betriebsereignis;-;alt;aktiv
# --- Alt-Fehlercodes (Typ F, veraltet - nur fuer Bestands-Logs) ---
201;F;Legacy;Xmodem remote cancel;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
202;F;Legacy;Xmodem retry exceed;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
203;F;Legacy;Xmodem synchronisation;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
204;F;Legacy;Xmodem file too long;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
205;F;Legacy;Xmodem packet type;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
206;F;Legacy;Xmodem timeout;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
207;F;Legacy;no iap firmware file;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
208;F;Legacy;CRC checksum;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
210;F;Legacy;communication timeout;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
211;F;Legacy;USB media write;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
220;F;Legacy;firmware programming;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
300;F;Legacy;CPU brownout;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
500;F;Legacy;Hardware;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
510;F;Legacy;flash memory;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
520;F;Legacy;I2C bus;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
521;F;Legacy;I2C device;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
522;F;Legacy;I2C DPP;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
524;F;Legacy;TCA6507 LED spot;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
530;F;Legacy;RTC device;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
540;F;Legacy;Bluetooth;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
550;F;Legacy;USB;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
600;F;Legacy;GSM/GPRS;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
650;F;Legacy;SIM PIN;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
700;F;Legacy;GPS;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
701;F;Legacy;GPS position fix time exceeded;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
800;F;Legacy;MQTT communication;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
1000;F;Legacy;Parameter initialisation;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
1001;F;Legacy;illegal parameter definition;Alt-Code aus Bestands-Firmware;siehe neuen Code im Subsystem;alt;veraltet
